,ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
184,32790100050033,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0033,RT 005 RW 007
185,32790100050034,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0034,RT 006 RW 007
186,32790100050035,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0035,RT 001 RW 008
187,32790100050036,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0036,RT 002 RW 008
188,32790100050037,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0037,RT 003 RW 008
189,32790100050038,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0038,RT 004 RW 008
190,32790100050039,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0039,RT 005 RW 008
191,32790100050040,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0040,RT 006 RW 008
192,32790100050041,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0041,RT 007 RW 008
193,32790100050042,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0042,RT 001 RW 009
194,32790100050043,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0043,RT 002 RW 009
195,32790100050044,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0044,RT 003 RW 009
196,32790100050045,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0045,RT 004 RW 009
197,32790100050046,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0046,RT 005 RW 009
198,32790100050047,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0047,RT 006 RW 009
199,32790100050048,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0048,RT 001 RW 010
