ID_sub_SLS,kode_wilayah,kode_provinsi,nama_provinsi,kode_kabupaten,nama_kabupaten,kode_kecamatan,nama_kecamatan,kode_desa,nama_desa,kode_SLS,nama_SLS
3279010005003000    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0030,RT 002 RW 007
3279010005003100    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0031,RT 003 RW 007
3279010005003200    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0032,RT 004 RW 007
3279010005003300    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0033,RT 005 RW 007
3279010005003400    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0034,RT 006 RW 007
3279010005003500    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0035,RT 001 RW 008
3279010005003600    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0036,RT 002 RW 008
3279010005003700    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0037,RT 003 RW 008
3279010005003800    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0038,RT 004 RW 008
3279010005003900    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0039,RT 005 RW 008
3279010005004000    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0040,RT 006 RW 008
3279010005004100    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0041,RT 007 RW 008
3279010005004200    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0042,RT 001 RW 009
3279010005004300    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0043,RT 002 RW 009
3279010005004400    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0044,RT 003 RW 009
3279010005004500    ,3279010005,32,JAWA BARAT,79,BANJAR,010,BANJAR,005,BANJAR,0045,RT 004 RW 009
